"row_number","animal_name","animal_gender","animal_birth_month","breed_rc","borough","zip_code","community_district","census_tract2010","nta","city_council_district","congressional_district","state_senatorial_district","license_issued_date","license_expired_date"
41430,"Beau","M",2008-01-01,"Poodle","Manhattan",10065,108,118,"MN31",4,12,28,2015-12-01,2017-12-01
42035,"Bear","M",2010-07-01,"Akita","Bronx",10465,210,118,"BX52",13,14,34,2015-12-04,2017-01-04
43465,"Sunshine","F",2000-01-01,"Chihuahua","Bronx",10457,206,395,"BX01",15,15,33,2015-12-16,2017-01-29
43903,"Boy","F",2015-09-01,"Samoyed","Brooklyn",11209,310,60,"BK31",43,11,22,2015-12-19,2016-12-19
44112,"Mel","M",2002-12-01,"Pug","Brooklyn",11235,315,596,"BK17",48,9,19,2015-12-21,2017-01-19
44455,"Tux","M",2005-01-01,"Unknown","Bronx",10461,211,286,"BX37",13,14,34,2015-12-22,2016-12-30
44756,"Rose","F",2011-10-01,"Beagle","Queens",11101,402,7,"QN31",26,12,12,2015-12-27,2017-12-27
44852,"Nina","F",2004-01-01,"Unknown","Brooklyn",11230,314,526,"BK42",40,9,17,2015-12-28,2017-01-30
47793,"Sachi","F",2006-10-01,"Chow Chow","Queens",11385,405,637,"QN19",30,6,15,2016-01-15,2017-02-12
48071,"Niko","M",2013-10-01,"Pug","Queens",11357,407,991,"QN49",19,3,11,2016-01-17,2017-03-02
50583,"Gogo","F",2008-04-01,"Pug","Manhattan",10003,102,59,"MN23",2,12,27,2016-02-02,2017-04-05
52086,"Kai","M",2007-09-01,"Unknown","Bronx",10456,203,151,"BX35",17,15,32,2016-02-09,2017-02-21
52822,"Max","M",2004-01-01,"Unknown","Bronx",10473,209,28,"BX09",17,15,32,2016-02-12,2016-12-30
52932,"Cupia","M",2007-01-01,"Maltese","Queens",11105,401,105,"QN72",22,14,13,2016-02-13,2017-04-22
54241,"Mittens","F",2010-12-01,"Basenji","Manhattan",10065,108,116,"MN31",5,12,28,2016-02-20,2017-04-18
54483,"Oliver","M",2010-03-01,"Havanese","Manhattan",10035,111,198,"MN34",9,13,30,2016-02-22,2019-02-22
55437,"Sally","F",2008-09-01,"Pug","Manhattan",10003,102,61,"MN23",2,12,27,2016-02-26,2017-03-17
58027,"Fendi","F",2009-09-01,"Shih Tzu","Brooklyn",11224,313,342,"BK21",47,8,23,2016-03-10,2017-04-03
58267,"Maggie","F",2007-11-01,"Unknown","Queens",11378,405,66701,"QN21",30,6,15,2016-03-11,2017-03-20
60758,"Gull","F",2005-09-01,"Unknown","Brooklyn",11229,315,568,"BK44",46,9,22,2016-03-23,2017-03-30
61685,"Zeus","M",2011-01-01,"Unknown","Brooklyn",11230,314,764,"BK42",45,9,17,2016-03-28,2016-12-19
61933,"Du","M",2010-02-01,"Unknown","Queens",11375,406,747,"QN17",29,6,16,2016-03-29,2017-05-10
62433,"Katie","F",2007-03-01,"Chihuahua","Brooklyn",11215,306,133,"BK37",39,7,25,2016-03-30,2017-05-29
62647,"Sebastian","M",2013-08-01,"Shih Tzu","Queens",11368,404,413,"QN25",21,14,13,2016-04-01,2017-03-01
63181,"Roscoe","M",2008-04-01,"Pug","Bronx",10464,210,516,"BX10",13,14,34,2016-04-04,2017-05-29
63299,"Bella","F",2012-11-01,"Pug","Brooklyn",11209,310,64,"BK31",43,11,22,2016-04-04,2017-04-18
63577,"Ruby","F",2004-04-01,"Maltese","Queens",11429,413,582,"QN34",27,5,14,2016-04-06,2017-05-20
63826,"Finian","M",2009-05-01,"Chow Chow","Manhattan",10011,102,63,"MN23",3,10,27,2016-04-07,2017-03-03
64325,"Rocco","M",2013-12-01,"Akita","Queens",11372,403,277,"QN28",25,14,13,2016-04-08,2017-04-08
64448,"Unknown","F",2015-12-01,"Unknown","Manhattan",10031,109,229,"MN04",7,13,31,2016-04-09,2017-04-09
64548,"Dino","M",2010-11-01,"Pug","Bronx",10462,209,92,"BX59",18,14,34,2016-04-10,2018-03-20
65159,"Marko","M",2009-05-01,"Pug","Bronx",10465,210,164,"BX52",13,14,34,2016-04-12,2016-11-19
65652,"Juicy","F",2013-11-01,"Maltese","Brooklyn",11235,315,59401,"BK17",48,9,22,2016-04-15,2017-04-15
66254,"Gizmo","M",2000-01-01,"Pug","Queens",11103,401,163,"QN70",22,14,12,2016-04-18,2017-05-30
67051,"Shibby","F",2006-02-01,"Unknown","Brooklyn",11215,306,139,"BK37",39,7,21,2016-04-20,2017-05-12
67388,"Rosie","F",2010-02-01,"Lhasa Apso","Brooklyn",11235,313,370,"BK19",48,11,23,2016-04-22,2017-03-30
68383,"Stella","F",2010-09-01,"Unknown","Manhattan",10025,107,179,"MN12",6,10,31,2016-04-26,2017-05-04
68631,"Luna","F",2005-11-01,"Shih Tzu","Brooklyn",11209,310,5601,"BK31",43,11,22,2016-04-27,2017-03-28
70675,"Prince","M",2008-04-01,"Maltese","Queens",11416,409,38,"QN53",32,7,15,2016-05-06,2017-06-19
71021,"Squirt","M",2009-02-01,"Puggle","Brooklyn",11231,306,69,"BK38",33,7,25,2016-05-07,2017-05-09
71385,"Rocky","M",2007-09-01,"Shih Tzu","Queens",11106,401,77,"QN70",22,12,12,2016-05-09,2017-05-05
71726,"Satch","F",2008-09-01,"Unknown","Staten Island",10305,501,8,"SI37",49,11,23,2016-05-11,2017-05-27
72161,"Cookie","F",2008-11-01,"Chihuahua","Manhattan",10035,111,194,"MN34",8,13,30,2016-05-12,2017-04-01
72193,"Legion","F",2004-01-01,"Beagle","Manhattan",10021,108,128,"MN40",4,12,28,2016-05-12,2017-05-30
73177,"Juno","F",2010-05-01,"Boxer","Queens",11428,413,566,"QN34",23,5,14,2016-05-15,2018-04-14
74383,"Gigi","F",2011-12-01,"Shih Tzu","Bronx",10474,202,93,"BX27",17,15,32,2016-05-19,2017-05-11
75173,"Mark","M",2012-01-01,"Unknown","Bronx",10462,211,252,"BX37",13,14,34,2016-05-23,2017-03-24
76526,"Bella","F",2014-09-01,"Maltese","Brooklyn",11233,316,371,"BK79",41,8,25,2016-05-31,2017-05-31
76715,"Cujo","M",2003-01-01,"Unknown","Bronx",10471,208,337,"BX22",11,16,34,2016-05-31,2017-06-29
77026,"Marcello","M",2013-07-01,"Maltese","Brooklyn",11214,311,274,"BK28",47,10,22,2016-06-01,2017-07-17
77550,"Hogan","M",2011-06-01,"Unknown","Queens",11364,411,129104,"QN42",23,6,11,2016-06-03,2017-07-03
77582,"Mio","M",2015-01-01,"Shih Tzu","Bronx",10467,211,330,"BX07",15,14,34,2016-06-03,2017-06-03
80636,"Monday","M",2010-04-01,"Unknown","Brooklyn",11237,304,437,"BK77",37,7,18,2016-06-15,2017-06-30
80667,"Jax","M",2006-01-01,"Cocker Spaniel","Queens",11413,413,646,"QN66",31,5,14,2016-06-15,2017-06-29
81693,"Bella","F",2008-02-01,"Pug","Brooklyn",11204,311,258,"BK28",47,10,22,2016-06-20,2017-07-01
85093,"Unknown","F",2016-01-01,"Morkie","Brooklyn",11225,309,806,"BK60",40,9,20,2016-07-05,2017-07-05
86424,"Bella","F",2011-12-01,"Pug","Manhattan",10007,101,21,"MN24",1,10,26,2016-07-11,2017-06-07
86857,"Sparky","M",2014-01-01,"Chihuahua","Manhattan",10009,106,44,"MN50",4,12,27,2016-07-12,2017-08-04
88274,"Max","M",2010-04-01,"Puggle","Queens",11385,405,591,"QN20",30,7,12,2016-07-16,2017-07-28
88931,"Rolex","M",2008-07-01,"Pug","Staten Island",10303,501,231,"SI12",49,11,23,2016-07-19,2018-07-19
89059,"Simon","M",2015-04-01,"Boxer","Queens",11109,402,1,"QN31",26,12,12,2016-07-19,2017-07-18
89334,"Lula","F",2010-09-01,"Beagle","Brooklyn",11221,303,281,"BK35",36,8,25,2016-07-20,2017-02-23
89373,"Onyx","M",2015-04-01,"Maltese","Bronx",10454,201,23,"BX39",8,15,29,2016-07-20,2018-07-20
90174,"Polizzi","M",2016-05-01,"Maltese","Queens",11414,410,892,"QN57",32,8,15,2016-07-23,2017-07-23
90453,"Zoe","F",2005-01-01,"Maltese","Queens",11375,406,723,"QN17",29,6,15,2016-07-25,2017-08-04
91009,"Brandy","M",2009-02-01,"Lhasa Apso","Manhattan",10016,105,72,"MN20",2,12,28,2016-07-27,2017-06-05
91286,"Priscilla","F",2001-01-01,"Unknown","Queens",11428,413,496,"QN34",23,5,14,2016-07-28,2017-07-30
91624,"Jerry","M",2016-05-01,"Maltese","Brooklyn",11236,318,982,"BK50",42,8,19,2016-07-30,2017-07-30
94931,"Tuffy","M",2009-07-01,"Chihuahua","Bronx",10460,206,60,"BX75",15,15,32,2016-08-11,2017-09-24
96746,"Sandy","F",2016-04-01,"Morkie","Bronx",10455,201,71,"BX34",17,15,32,2016-08-18,2017-08-18
97047,"Rupert","M",2015-03-01,"Pug","Queens",11414,410,892,"QN57",32,8,15,2016-08-21,2018-08-21
97409,"Haley","F",2005-01-01,"Unknown","Queens",11363,411,1479,"QN45",19,3,11,2016-08-22,2017-07-30
97843,"Sadie","F",2013-05-01,"Pug","Manhattan",10025,107,191,"MN12",7,10,30,2016-08-24,2017-10-17
99358,"Luna","F",2002-12-01,"Unknown","Manhattan",10024,107,175,"MN12",6,10,31,2016-09-02,2017-09-30
101091,"Augie","M",2011-06-01,"Puggle","Queens",11421,409,8,"QN53",32,7,15,2016-09-10,2017-10-07
101307,"Ugo","M",2009-01-01,"Unknown","Bronx",10469,211,316,"BX31",13,14,34,2016-09-12,2017-09-17
102763,"Vegas","M",2009-01-01,"Unknown","Queens",11357,407,1039,"QN49",19,3,11,2016-09-16,2017-10-08
103230,"Kiss","F",2012-07-01,"Maltese","Manhattan",10032,112,261,"MN36",10,13,31,2016-09-19,2018-11-19
103433,"Biah","F",2004-01-01,"Pug","Queens",11377,401,295,"QN63",26,14,13,2016-09-19,2017-09-30
105343,"Hank","M",2005-02-01,"Pug","Brooklyn",11215,306,137,"BK37",39,7,21,2016-09-28,2017-08-18
106386,"Roxy","F",2010-12-01,"Unknown","Bronx",10463,208,273,"BX28",14,13,33,2016-10-03,2017-10-27
109913,"Blackie","M",2006-01-01,"Unknown","Bronx",10465,210,138,"BX52",13,14,34,2016-10-20,2017-09-21
110958,"Yoffi","F",2007-01-01,"Unknown","Manhattan",10023,107,159,"MN14",6,10,29,2016-10-25,2017-10-27
112181,"R.a.","F",2012-05-01,"Unknown","Queens",11417,410,58,"QN56",32,8,15,2016-11-01,2017-12-12
112712,"Letty","F",2014-06-01,"Maltese","Queens",11421,409,8,"QN53",32,7,15,2016-11-03,2017-11-03
113486,"Franklin","M",2011-10-01,"Maltese","Manhattan",10025,107,183,"MN12",7,10,30,2016-11-08,2017-10-21
114941,"Roxy","F",2013-10-01,"Unknown","Brooklyn",11217,302,181,"BK68",35,8,25,2016-11-15,2017-12-10
115518,"Pheebs","F",2013-12-01,"Beagle","Queens",11101,402,7,"QN31",26,12,12,2016-11-18,2017-12-30
120475,"Not","M",2016-07-01,"Puggle","Queens",11374,406,687,"QN18",29,6,15,2016-12-19,2017-12-19
120587,"Ginger","F",2009-08-01,"Pug","Bronx",10463,208,289,"BX29",11,13,33,2016-12-20,2017-12-03
120808,"Unknown","M",2016-08-01,"Pug","Manhattan",10033,112,269,"MN35",10,13,31,2016-12-21,2017-12-21
120943,"Maxi","F",2007-01-01,"Unknown","Bronx",10473,209,84,"BX09",18,15,34,2016-12-23,2022-01-28
121295,"Harley","M",2011-07-01,"Unknown","Brooklyn",11210,314,748,"BK43",45,9,17,2016-12-27,2018-02-14
1,"Queen","F",2013-04-01,"Akita Crossbreed","Manhattan",10013,101,31,"MN24",1,10,26,2014-09-12,2017-09-12
2,"Chewbacca","F",2012-06-01,"Labrador (or Crossbreed)","Manhattan",10013,102,47,"MN24",1,10,26,2014-09-12,2019-10-01
3,"Ian","M",2006-01-01,"Unknown","Manhattan",10013,102,47,"MN24",1,10,26,2014-09-12,2019-10-30
4,"Paige","F",2014-07-01,"Pit Bull (or Mix)","Manhattan",10035,111,206,"MN03",9,13,30,2014-09-12,2017-09-12
5,"Buddy","M",2008-04-01,"Unknown","Manhattan",10025,107,195,"MN09",7,10,31,2014-09-12,2017-10-20
6,"Ali","M",2014-01-01,"Basenji","Manhattan",10013,NA,NA,NA,NA,NA,NA,2014-09-12,2019-09-12
7,"Lola","F",2009-06-01,"Maltese","Manhattan",10028,108,140,"MN40",5,12,28,2014-09-12,2017-10-09
8,"Yogi","M",2010-09-01,"Boxer","Bronx",10465,210,132,"BX52",13,14,34,2014-09-12,2017-10-02
9,"Murphy","M",2012-01-01,"Pit Bull (or Mix)","Bronx",10463,208,29301,"BX29",11,16,34,2014-09-13,2017-09-28
10,"Muneca","F",2013-05-01,"Beagle","Brooklyn",11232,307,88,"BK34",38,7,17,2014-09-13,2019-09-13
11,"Avery","F",2014-06-01,"Pit Bull (or Mix)","Manhattan",10002,103,201,"MN28",1,7,26,2014-09-13,2019-09-13
12,"Buddy","M",2012-10-01,"Bull Terrier","Staten Island",10312,503,17008,"SI48",51,11,24,2014-09-13,2019-10-05
13,"Lemmy","F",2005-07-01,"Yorkshire Terrier","Manhattan",10003,103,38,"MN22",2,12,27,2014-09-13,2017-10-26
14,"Lola","F",2006-08-01,"Miniature Pinscher","Manhattan",10022,106,98,"MN19",4,12,28,2014-09-13,2019-10-03
15,"Logan","M",2003-01-01,"Unknown","Manhattan",10011,104,99,"MN13",3,10,27,2014-09-13,2017-10-30
16,"Apple","M",2013-07-01,"Havanese","Manhattan",10025,109,199,"MN09",7,10,30,2014-09-13,2019-10-16
17,"Otis","F",2001-01-01,"Unknown","Manhattan",10011,104,99,"MN13",3,10,27,2014-09-13,2017-09-29
18,"Oscar","M",2008-12-01,"German Shorthaired Pointer","Manhattan",10025,107,195,"MN09",7,10,31,2014-09-13,2019-09-13
19,"Sophie","F",2011-09-01,"Boxer","Staten Island",10308,503,15601,"SI54",51,11,24,2014-09-13,2019-10-23
20,"June","F",2010-04-01,"Cavalier King Charles Spaniel","Brooklyn",11238,302,197,"BK69",35,8,25,2014-09-13,2019-10-28
21,"Sarah","F",2012-12-01,"Unknown","Manhattan",10025,109,199,"MN09",7,10,30,2014-09-13,2017-09-13
22,"Elizabeth","F",2013-03-01,"Cavalier King Charles Spaniel","Manhattan",10022,106,108,"MN19",5,12,28,2014-09-13,2019-09-13
23,"Lucy","F",2014-03-01,"Dachshund Smooth Coat Miniature","Brooklyn",11215,306,151,"BK37",39,9,21,2014-09-13,2019-09-13
24,"Dottie","F",2013-04-01,"Poodle, Standard","Manhattan",10025,107,185,"MN12",7,10,30,2014-09-13,2017-09-13
25,"Ricky","M",2014-07-01,"German Shepherd Dog","Brooklyn",11220,307,74,"BK32",38,7,20,2014-09-13,2017-09-13
26,"Bigs","M",2004-12-01,"Pit Bull (or Mix)","Brooklyn",11208,305,1196,"BK82",42,8,18,2014-09-13,2019-10-27
27,"Bess","F",2010-09-01,"Beagle","Brooklyn",11218,312,488,"BK41",39,10,17,2014-09-13,2016-09-13
28,"Benson","M",2010-07-01,"Boxer","Brooklyn",11209,310,36,"BK31",43,11,22,2014-09-13,2019-10-29
29,"Massimo","M",2009-07-01,"Bull Dog, French","Brooklyn",11201,302,9,"BK09",33,7,26,2014-09-13,2017-09-17
30,"Heidi-Bo","F",2007-09-01,"Dachshund Smooth Coat","Brooklyn",11215,306,133,"BK37",39,7,25,2014-09-13,2017-04-16
31,"Max","M",2005-10-01,"Dachshund, Long Haired","Manhattan",10023,107,153,"MN14",6,10,27,2014-09-14,2019-09-14
32,"Ranger","M",2007-08-01,"German Shorthaired Pointer","Brooklyn",11229,315,562,"BK44",48,9,17,2014-09-14,2017-09-14
33,"Elaine","F",2005-04-01,"Labrador (or Crossbreed)","Bronx",10471,208,351,"BX22",11,16,34,2014-09-14,2019-09-14
34,"Tiberius","M",2006-08-01,"Golden Retriever","Manhattan",10021,108,132,"MN31",5,12,28,2014-09-14,2017-10-10
35,"Sandee","F",2009-06-01,"Schnauzer, Miniature","Queens",11361,411,1471,"QN46",19,6,16,2014-09-14,2017-10-04
36,"Sammy","M",2007-04-01,"Beagle","Brooklyn",11231,306,75,"BK33",33,7,26,2014-09-14,2017-10-15
37,"Jasmine","F",2008-01-01,"Unknown","Brooklyn",11209,NA,NA,NA,NA,NA,NA,2014-09-14,2017-10-28
38,"Joey","F",2010-03-01,"Labrador (or Crossbreed)","Manhattan",10023,107,147,"MN14",6,10,27,2014-09-14,2017-07-30
39,"Sherrie","M",2008-06-01,"Yorkshire Terrier","Brooklyn",11224,313,350,"BK23",48,8,23,2014-09-14,2017-10-06
40,"Nina","F",2010-11-01,"Schnauzer, Miniature","Bronx",10461,210,300,"BX10",13,14,34,2014-09-14,2017-10-27
41,"Lilah","F",2008-02-01,"Norfolk Terrier","Brooklyn",11209,310,136,"BK31",43,11,22,2014-09-14,2017-09-14
42,"Dede","M",2013-02-01,"Boston Terrier","Brooklyn",11236,318,964,"BK50",46,8,19,2014-09-14,2019-09-14
43,"Cooby","M",2013-06-01,"Bichon Frise","Manhattan",10002,103,1002,"MN28",2,7,26,2014-09-14,2017-09-14
44,"Rosie","F",2010-03-01,"Unknown","Manhattan",10028,108,136,"MN32",5,12,28,2014-09-14,2017-10-01
45,"Nahla","F",2011-05-01,"Labrador (or Crossbreed)","Manhattan",10023,107,147,"MN14",6,10,27,2014-09-15,2017-09-15
46,"Rocky","M",2012-09-01,"Yorkshire Terrier","Bronx",10451,204,61,"BX14",16,15,32,2014-09-15,2017-10-09
47,"Bailey","M",2005-01-01,"Shih Tzu","Manhattan",10021,108,134,"MN31",5,12,28,2014-09-15,2017-10-14
48,"Buckley","F",2006-01-01,"Labrador (or Crossbreed)","Manhattan",10022,106,100,"MN19",4,12,28,2014-09-15,2017-10-28
49,"Dexter","M",2010-11-01,"Cavalier King Charles Spaniel","Brooklyn",11201,306,45,"BK33",39,7,26,2014-09-15,2017-10-24
50,"Zoey","F",2011-04-01,"Poodle, Miniature","Brooklyn",11215,306,133,"BK37",39,7,20,2014-09-15,2017-10-20
51,"Angel","M",2000-11-01,"Bichon Frise","Bronx",10467,211,340,"BX07",13,14,36,2014-09-15,2017-10-31
52,"Louie","M",2008-05-01,"Unknown","Manhattan",10024,107,171,"MN12",6,10,31,2014-09-15,2017-09-03
53,"Pepi","M",2004-01-01,"Unknown","Bronx",10467,207,419,"BX43",11,13,36,2014-09-15,2019-10-31
54,"Paola","F",2013-06-01,"Unknown","Manhattan",10038,101,1501,"MN25",1,10,26,2014-09-15,2017-10-05
55,"Juno","F",2010-10-01,"Maltese","Bronx",10473,209,20,"BX09",18,15,32,2014-09-15,2017-09-14
56,"Josh","F",2010-01-01,"Chihuahua","Queens",11379,405,671,"QN21",30,6,15,2014-09-15,2017-10-09
57,"Coco","F",2009-08-01,"Bichon Frise","Staten Island",10309,503,20803,"SI32",51,11,24,2014-09-15,2017-10-22
58,"Chloe","F",2005-11-01,"Pit Bull (or Mix)","Manhattan",10029,111,172,"MN33",8,13,29,2014-09-15,2017-10-14
59,"Chewy","M",2012-12-01,"Chihuahua","Brooklyn",11224,313,340,"BK21",47,8,23,2014-09-15,2017-09-15
60,"Mia","F",2013-03-01,"Rottweiler","Queens",11415,409,136,"QN60",29,6,14,2014-09-15,2017-09-15
61,"Pirulo","M",2008-01-01,"Unknown","Manhattan",10038,101,1501,"MN25",1,10,26,2014-09-15,2017-02-23
62,"Luna","F",2009-12-01,"Schnauzer, Miniature","Brooklyn",11215,306,133,"BK37",39,7,20,2014-09-15,2017-10-20
63,"Baxter","M",2013-08-01,"Beagle","Queens",11374,406,71702,"QN18",29,6,16,2014-09-15,2019-11-21
64,"Duke","M",2012-11-01,"Boxer","Manhattan",10012,102,49,"MN24",1,10,26,2014-09-15,2017-09-16
65,"Twiggy","F",2004-01-01,"Pit Bull (or Mix)","Manhattan",10029,111,172,"MN33",8,13,29,2014-09-15,2017-10-30
66,"Truman","M",2007-01-01,"Bull Dog, French","Queens",11104,402,183,"QN31",26,14,12,2014-09-15,2017-10-30
67,"Rocco","M",2010-05-01,"Chihuahua","Manhattan",10012,102,49,"MN24",1,10,26,2014-09-15,2019-10-04
68,"Max","M",2008-01-01,"Pit Bull (or Mix)","Manhattan",10029,111,172,"MN33",8,13,29,2014-09-15,2017-10-24
69,"Blue","M",2008-04-01,"Collie, Border","Manhattan",10034,112,295,"MN01",10,13,31,2014-09-15,2019-09-24
70,"Tosha","F",2011-12-01,"Collie, Smooth Coat","Manhattan",10024,107,171,"MN12",6,10,31,2014-09-16,2017-10-11
71,"Ty","M",2010-09-01,"Siberian Husky","Brooklyn",11236,318,964,"BK50",46,8,19,2014-09-16,2017-09-16
72,"Bella","F",2005-01-01,"Beagle","Manhattan",10031,109,231,"MN04",9,13,30,2014-09-16,2017-10-26
73,"Lucy","F",2011-04-01,"Unknown","Manhattan",10011,104,81,"MN13",3,12,27,2014-09-16,2017-10-18
74,"Teddy","M",2008-01-01,"Unknown","Manhattan",10065,108,118,"MN31",4,12,28,2014-09-16,2017-10-29
75,"Tigger","M",2012-06-01,"Golden Retriever","Manhattan",10280,101,31704,"MN25",1,10,26,2014-09-16,2019-10-31
76,"Charlie","M",2007-05-01,"Labrador (or Crossbreed)","Queens",11435,408,77905,"QN37",24,6,14,2014-09-16,2019-09-03
77,"Sandy","F",2011-07-01,"Lhasa Apso","Manhattan",10011,102,63,"MN23",3,10,27,2014-09-16,2017-10-15
78,"Sabrina","F",2002-12-01,"Unknown","Queens",11106,401,57,"QN70",26,12,12,2014-09-16,2017-09-30
79,"Juplay","M",2002-02-01,"Beagle","Queens",11106,401,57,"QN70",26,12,12,2014-09-16,2017-10-23
80,"A.j.","M",2005-01-01,"Puggle","Staten Island",10308,503,13203,"SI54",51,11,24,2014-09-16,2017-07-30
81,"George","M",2013-04-01,"Bull Dog, English","Manhattan",10011,104,83,"MN13",3,10,27,2014-09-16,2017-09-16
82,"Oliver","M",2008-06-01,"Poodle","Manhattan",10025,107,181,"MN12",7,10,30,2014-09-16,2016-09-16
83,"Zoey","F",2010-04-01,"American Eskimo Dog","Manhattan",10016,106,66,"MN20",2,12,28,2014-09-16,2016-09-16
84,"Brody","M",2006-01-01,"Cocker Spaniel","Manhattan",10035,NA,NA,NA,NA,NA,NA,2014-09-16,2016-09-16
85,"Dakota","F",2011-07-01,"Kooikerhondje","Manhattan",10016,106,8601,"MN19",4,12,27,2014-09-16,2017-09-16
86,"Cooper","M",2011-04-01,"French Bulldog","Staten Island",10309,503,20801,"SI32",51,11,24,2014-09-16,2019-09-16
87,"Rocky","M",2014-07-01,"Yorkshire Terrier","Staten Island",10312,503,20801,"SI32",51,11,24,2014-09-16,2016-09-16
88,"Nala","F",2013-04-01,"Unknown","Manhattan",10023,107,155,"MN14",6,10,27,2014-09-16,2017-10-31
89,"Kona","M",2008-06-01,"Shih Tzu","Manhattan",10022,106,108,"MN19",5,12,28,2014-09-16,2019-10-15
90,"Walter","M",2010-09-01,"Pit Bull (or Mix)","Queens",11375,406,747,"QN17",29,6,16,2014-09-17,2019-05-17
